id,date_announced,date_closed,acquirer,seller,target,perimeter,geography,stake_pct,value,currency,value_basis,status,file,page,source_url,source_type,date_consulted,added_by,checked_by
D1,2021-12-14,,Veolia Environnement SA,,Suez,"Activités eau et déchets de Suez, sous conditions d'engagements",Europe,,,,,cleared,04_Litigation/m9969-veolia-suez-decision.pdf,1,https://ec.europa.eu/competition/mergers/cases1/202209/M_9969_8194869_7058_3.pdf,competition_decision,2026-09-22,dataroom-bearer,
D2,2025-11-20,2026-06-01,Veolia Environnement SA,Enviri Corporation,Clean Earth,Déchets dangereux ; 2 989 M USD soit 2 542 M EUR ; montant net 2 778 M EUR dettes IFRS 16 et coûts d'acquisition inclus ; 82 sites dont 19 autorisés EPA,États-Unis,100,2542,EUR,enterprise_value,completed,01_Financial/veolia-amendement-deu-2025-s1-2026.pdf,46,https://www.veolia.com/sites/g/files/dvc4206/files/document/2026/07/Veolia_Finance_amendement_DEU_2025.pdf,regulated_filing,2026-09-22,dataroom-bearer,
D3,,2026-06-30,,Veolia Environnement SA,Participations du Groupe en France,"Cessions de participations ; produit de cession au 30 juin 2026, frais inclus",France,,14,EUR,other,completed,01_Financial/veolia-amendement-deu-2025-s1-2026.pdf,27,https://www.veolia.com/sites/g/files/dvc4206/files/document/2026/07/Veolia_Finance_amendement_DEU_2025.pdf,regulated_filing,2026-09-22,dataroom-bearer,
D4,,2026-03-31,Veolia Environnement SA,,Enviropacific Services,"Réhabilitation des sols et traitement des eaux contaminées, PFAS ; 228 M AUD soit 137 M EUR (montant net)",Australie,,137,EUR,enterprise_value,completed,01_Financial/veolia-amendement-deu-2025-s1-2026.pdf,46,https://www.veolia.com/sites/g/files/dvc4206/files/document/2026/07/Veolia_Finance_amendement_DEU_2025.pdf,regulated_filing,2026-09-22,dataroom-bearer,
D5,,2026-06-30,,Veolia Environnement SA,Participations du Groupe au Belux,"Cessions de participations ; produit de cession au 30 juin 2026, frais inclus",Belgique et Luxembourg,,41,EUR,other,completed,01_Financial/veolia-amendement-deu-2025-s1-2026.pdf,27,https://www.veolia.com/sites/g/files/dvc4206/files/document/2026/07/Veolia_Finance_amendement_DEU_2025.pdf,regulated_filing,2026-09-22,dataroom-bearer,
